UNIT REFERENCE,,,TALENT SLOT,,,,MECHANICAL EFFECT,,,,OBSERVABLE SIGNATURES,,,,TRACKING,,
reaper,Reaper,,1,L,9,Ghostly Reaper,"Instant killing of a monster by a Reaper will give you a trophy skull, which increases the damage inflicted by all Reapers by 3% and summons a ghostly reaper to the player's side, instead of bringing a ghost to the opponent's side. This type of ghost will move towards monsters and inflict 200% of the Reaper's damage in the area around itself. The bonus is reduced to 0.3% after 150 trophies.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
reaper,Reaper,,1,R,9,Mortal Harvest,"Activation of the instant kill has a 30% chance to inflict damage in the area around the target, with an instant kill chance 2.5 times lower than the basic level. The big ghost resulting from this type of kill will be 100% stronger.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
reaper,Reaper,,2,L,11,Slayer of Giants,"When attacking bosses and mini bosses, the Reaper's activated abilities deal 500% more damage.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
reaper,Reaper,,2,R,11,Maximum Gain,Instantly killing a monster with the Reaper's attack gives 3 mana. The amount of mana increases based on the Reaper's merge rank.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
reaper,Reaper,,3,L,13,Deadly Throw,The attack has a 10% chance of causing the scythe to ricochet at a random boss or mini boss on the path.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
reaper,Reaper,,3,R,13,Walking Dead,Increases the chance of summoning ghosts by 25% and their movement speed by 50%. Merging Reapers activates instant kill of 2 common monsters in proportion to rank. Ghosts cannot be summoned in Co-Op and single player modes.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
reaper,Reaper,,4,Fixed,15,Death Wish,Merging the Reaper increases the attack speed of other Reapers on the field by 25% for 10s.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,1,L,9,Wolf's Nature,There is a 35% chance that a Dubious Riding Hood might appear on the field instead of an ordinary Riding Hood. The Dubious Riding Hood produces 100% more mana. Damage from all Wolves increases by 4% for every merge rank of all Dubious Riding Hoods on the field.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,1,R,9,Alpha Wolf,"The charge counter becomes shared. In the empowered form, charges increase damage by 1.5% up to 40, and by 0.5% after that. New abilities can be received at 1, 5, 20, and 40 charges, but the Wolf form is temporary and only lasts 50 sec after absorbing a unit.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,2,L,11,Chilling Howl,Receiving a temporary power-up will stun an opposing unit on the corresponding tile for 5s. Does not work in Co-Op or single-player modes.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,2,R,11,Wound Licking,Absorbing units has a 75% chance of clearing a unit of negative effects.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,3,L,13,Neutralization,"When the Riding Hood is in the Wolf form, damage from the opponent's units is reduced by 3%. The effectiveness of damage reduction is reduced with every Wolf on the field, down to 2% per unit. In Co-Op, the effect increases allied units' damage. In single-player modes, it increases your own units' damage.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,3,R,13,Scarecrows,"The Riding Hood scares nearby enemies, lowering their armor by 3%, and by an additional 3% for every merge rank. The lowering effects of several Riding Hoods do not stack.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
riding_hood,Riding Hood,,4,Fixed,15,Treats for Grandma,"When the Riding Hood appears on the field, she will feed a random Wolf, increasing its critical damage chance by 5% and giving mana depending on the unit's merge rank.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
robot,Robot,,1,L,9,Fine Calibrations,"Gives a 10% chance to increase the Robot's merge rank when performing the upgrade. Gains access to a new upgrade at 14 Parts, increasing the critical attack chance by 5% and the damage by 25%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
robot,Robot,,1,R,9,General Program,"After 2 merges, each Robot performs an upgrade and gains a Wrench. The Mana Power-up now spends 1 Wrench and triggers a volley of missiles dealing 100% of the Robot's critical damage in the area. Gains access to a new upgrade at 14 Parts, increasing the critical attack chance by 5%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
robot,Robot,,2,L,11,Defense System,Using a Wrench gives a 50% chance to remove negative effects from a random Robot.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
robot,Robot,,2,R,11,Successful Tuning,"When performing an upgrade, has a 40% chance to perform another upgrade.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
robot,Robot,,3,L,13,Fire Support,"Increases the critical damage of a Robot of 6+ merge rank by 2.5% per Part, but only up to the maximum of 70%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
robot,Robot,,3,R,13,Speed Module,Using the Wrench's buff increases the attack speed of all Robots with the Fine Calibrations talent and all Robots with the General Program talent by 40% for 20s.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
robot,Robot,,4,Fixed,15,BRG 1000,"Gains access to a new upgrade at 20 Parts, starting to fire a laser at the first target with a 10% chance on attacking. The laser deals 400% damage to common monsters and 800% damage to bosses and mini bosses.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,1,L,9,Slug Spikes,"There's a 50% chance of the Rogue being equipped with thorns. During merging, appearing or changing merge rank, it throws them at the first target. For 10s, the thorns inflict 250% of the Rogue's damage to monsters passing over them, and slow them down.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,1,R,9,Sharp Thorns,"There's a 50% chance of the Rogue being equipped with thorns. During merging, appearing or changing merge rank, it throws them at the first target. For 10s, the spikes increase the damage inflicted on monsters in the area around them by 75%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,2,L,11,Smoke Bomb,"There's a 35% chance of the Rogue using a smoke bomb. During merging, appearance or changing of merge rank it shrouds all Rogues in smoke for 5s, increasing their damage by 20%.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,2,R,11,Vigor Bomb,"There's a 35% chance of the Rogue using an invigorating bomb. During merging, appearance or changing of merge rank it shrouds all units in smoke for 5s, increasing their attack speed by 15%.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,3,L,13,Fan Strike,"While in the smoke, the Rogue attacks the first 3 target(s).",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,3,R,13,Double Blow,"While in the smoke, the Rogue attacks the target twice.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
rogue,Rogue,,4,Fixed,15,Shinobi,"There's a 15% chance of the Shinobi appearing instead of the Rogue, and being equipped with both a bomb and spikes. A random value between 0 and 40% of critical damage is added to the additional damage. In addition, once per 20s he shrouds himself and neighboring Rogues in smoke and throws spikes at monsters. Any Rogue shrouded in smoke is protected from negative effects.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,1,L,9,Scrap 'Em All,"A random Scrapper is turned into a Recycler if there are no Recyclers on the battlefield yet. When absorbing a unit, the Recycler increases the damage dealt by every unit on the field by 20% for 10s. The mana ability will be directed at the Recycler now, until its rank is reduced to 1.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,1,R,9,Waste-Free Recycling,"Gains the ability to absorb units of a lower rank. The Mana ability reduces the rank of Scrappers with the lowest rank, but only if there is more than 1 Scrapper on the field, and gives mana equal to 100% of the summoning cost.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,2,L,11,Successful Shift,Merging a Scrapper has a 15% chance of increasing a random unit's rank out of order.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,2,R,11,Promotion by Merit,"When merging a Scrapper, the result is guaranteed to be a Scrapper as well.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,3,L,13,Labor Enthusiast,Merging the Scrapper sends a big Sticky Slime to the opponent's side. The Slime has 500% of a common monster's health. Does not work in Co-Op or single player modes.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,3,R,13,Acrid Waste,"When a Scrapper absorbs a unit, a caustic pool appears on the path, and will move towards the monsters. A monster's armor is reduced by 10% when coming into contact with this trap. The armor-reducing effect of several pools stacks up to 2 times.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
scrapper,Scrapper,,4,Fixed,15,Triple Quota,Has a 30% chance for the bonus enhancement to be applied twice and for the Scrapper to increase the merge rank of 3 units instead of 2.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,1,L,9,Cursed Treasure,"When you receive treasure, a ghost will haunt 1 random opponent unit, paralyzing it for 3.5s. The paralysis effect bypasses shields and cannot be removed by cleansing. After 20 treasure is accumulated, an additional target will be paralyzed. Doesn't work in Co-Op or single-player modes. Max treasure +10.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,1,R,9,Pirate Captain,"There's a 15% chance of the Captain appearing on the battlefield instead of the Sea Dog. When the Captain appears, one treasure is buried. Captains of merge rank 4 or higher get an additional 30% damage. Max treasure +10.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,2,L,11,Gate Shovel,"Sea Dogs of merge rank 4 or higher will dig up treasure on their tile when any other treasure is received. Treasure above the maximum will go to a random strongest Sea Dog, with 3% damage for each one. Max treasure +10.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,2,R,11,Deep Dwellers,"When you receive regular treasure, your opponent will be attacked by an Angler, which has 500% of the health of a regular monster, giving 200% mana to the player who summoned it. When you receive rare treasure, an Angler mini boss will be summoned with the same bonuses. Doesn't work in Co-Op or single-player modes. Max treasure +10.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,3,L,13,Explosive Surprise,"When you receive rare treasure, 1 bomb will be buried on the opponent's battlefield. If a unit appears, merges or increases its rank on a tile with a bomb, there will be an explosion, which will reduce the merge rank of the unit on the tile. Does not work in Co-Op or single-player modes. Max treasure +10.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,3,R,13,Powder Keg,"After finding rare treasure bosses and mini bosses will appear with a powder keg, which will explode after 1s and inflict damage equal to 10% of their current health. Damage to bosses and mini bosses is reduced by 2 times. Receiving rare treasure increases damage by 10%, up to 40%. Max treasure +10.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
sea_dog,Sea Dog,,4,Fixed,15,Cursed Amulet,"There's a 10% chance of a piece of amulet being buried. Each piece received will increase the damage inflicted by all Sea Dogs by 5%. When 4 pieces are collected, every 20s the strongest Sea Dog will summon a frigate, to attack random monsters on the battlefield. Each cannonball's damage equals 500% of the unit's damage. Max treasure +10.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,1,L,9,Spotter,"4 corner tiles become the Sentry's Guard Posts. A Sentry standing on such a tile becomes a Spotter. The Spotter's Enhanced Bolts attack the first target. When hit with a Spotter's Enhanced Bolt, the target gains a mark that increases the damage inflicted by the Sentries' Enhanced Bolts by 15%. The maximum bonus to damage is 300%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,1,R,9,Change of Guard,"2 central tiles adjacent to the path become the Sentry's Guard Posts. The damage from Sentries' Enhanced Bolts increases by 20% when a Sentry is moved to a Guard Post (or appears there). The damage bonus is reduced to 2% after getting a Sentry onto Guard Posts 9 times. Every 15s, the tiles move around.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,2,L,11,Triple Shot,A Sentry standing at a Guard Post has a 40% chance to shoot 2 additional Enhanced Bolts at random monsters.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,2,R,11,Ever Vigilant,"Every time a Sentry appears at a Guard Post, all Sentries have their attack speed increased by 50% for 10s. If the bonus is received again during that time, the effect is renewed for 10s, and the attack speed bonus becomes equal to 100%.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,3,L,13,Exploding Bolt,"Enhanced Bolts from the Sentries standing at Guard Posts additionally explode, inflicting area damage and shattering enemy armor by 15% in a small radius around the point of impact.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,3,R,13,Deadly Bolt,The Sentries' Enhanced Bolts gain a 5% bonus chance to inflict critical damage.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
sentry,Sentry,,4,Fixed,15,Ballista,"There is a 20% chance that a Ballista-wielding Sentry will appear on the field. This Sentry's Enhanced Bolts deal 200% extra damage. Merging any Sentry will cause all Ballistas on the field to fire. A Ballista's shot is guaranteed to deal critical damage, and the number of targets is in proportion to the merge rank of the Ballista-wielding Sentry.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,1,L,9,New Foe,The Crazy Shooting phase gives the Sharpshooter 75% area damage and is activated when fighting mini bosses for 4s.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,1,R,9,Headshot,Has a 7% chance to deal an additional 600% damage.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,2,L,11,Stunning Shot,"After a boss or mini boss has been killed, the Sharpshooter fires a special projectile at a random unit owned by the opponent, stunning it for 4s or 1s respectively. Does not work in Co-Op mode or in the Plunder trial.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,2,R,11,Shrapnel,"The Sharpshooter shoots shrapnel when a boss or mini boss appears. Shrapnel briefly paralyzes monsters, lowering their armor by 30%, and deals 100% periodic damage for 4s. Damage increases with merge rank.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,3,L,13,Rifled Barrel,Damage to bosses or mini bosses is increased by 5%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,3,R,13,Aimed Shots,The first attack by the Sharpshooter increases critical damage dealt to bosses or mini bosses from any source by 40%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
sharpshooter,Sharpshooter,,4,Fixed,15,Explosive Rounds,"During the Crazy Shooting phase, the Sharpshooter lowers the target's armor by 0.25% down to 40%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,1,L,9,Storm Power,"Upon a Mana Power-Up assumes the wind spirit form for 15s, increasing attack speed against bosses and mini bosses for 30%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,1,R,9,Flame Power,"Upon a Mana Power-Up assumes the fire spirit form for 15s, gaining a 30% AoE attack and increasing damage by 2% for each Spirit Master. Upon decreasing, his Mana Power-up level drops to 1 bypassing intermediate levels of Mana Up.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,2,L,11,Elixir of Life,Upon a Mana Power-Up of 6 or higher has a 30% chance to refund mana spent for the Power-up and a 25% chance to increase merge rank of one Spirit Master.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,2,R,11,Elixir of Purification,Upon a Mana Power-Up of 6 or higher the Spirit Master has a 75% chance to clean negative effects from itself.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,3,L,13,Stone Power,"After assuming the spirit form, the Spirit Master gains a 7% chance to throw a boulder dealing additional 200% attack damage in small area.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,3,R,13,Earth Power,"When using Mana Power-up, the Spirit Master throws a rock at random monsters, dealing 200% of the unit's damage, stunning monsters for 2 sec, and reducing their armor by 2.5%. The armor reduction effect can stack up to 20%. Stun cannot be triggered repeatedly.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
spirit_master,Spirit Master,,4,Fixed,15,Critical Might,A Mana Power-up of 6 or higher increases the Spirit Master's crit chance by 2%. A Mana Power-up of 9 or higher additionally increases his crit chance by 2%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,1,L,9,Multiple Summoning,"There's a 30% chance of the Summoner becoming an Oracle. When merging, the Oracle will summon 2 units. Besides, the unit replacement can be applied up to 3 times without needing to recharge.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,1,R,9,Enhanced Summoning,"There's a 30% chance of the Summoner becoming an Oracle. When merging the Oracle the merge rank of the summoned unit will be 1 higher. Additionally, replacement will now turn a random Summoner of the highest rank into another unit.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,2,L,11,Curse of the Spirits,"With a 20% chance after the appearance of Summoner and 100% chance after the appearance of Oracle, the cost of summoning the next enemy unit goes up by 20%, but not more than 1 times per summoning.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,2,R,11,Blessing of the Spirits,"With a 20% chance after the appearance of Summoner and 100% chance after the appearance of Oracle, the cost of summoning your next unit goes down by 30%, but not more than 1 times per summoning.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,3,L,13,Gift of the Ancestors,"Merging the Oracle accumulates spirits. When a unit is summoned by the Summoner, all of the player's units receive a 2% damage bonus per each accumulated spirit for 10s. The duration is increased by 0.5s for each spirit. After 10 spirits, there is a 20% chance of activating the bonus when any unit appears. The maximum number of spirits is 40.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,3,R,13,Wrath of the Ancestors,"Merging the Oracle will accumulate spirits. When the Summoner summons a unit, it sends small evil flamelings to the opponent, in the numbers proportional to merge rank. When dying, a flameling reduces the speed of the opponent's units by 25% for 5 sec. The duration is increased by 0.3 sec for each spirit. After 10 spirits, it becomes possible to activate them using replacements.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
summoner,Summoner,,4,Fixed,15,One with the Nature,"With each 2 spirits received, the player's monster critical damage is increased by 30% and the opponent's monster critical damage is reduced by 15%. The effect lasts for 8s. When 10 spirits have been accumulated, the effect works every time you get a spirit.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,1,L,9,Electro Chain,Tesla's damage in the chain is increased by 1.2% per merge rank in proportion to the number of Teslas in the chain. The maximum bonus is achieved with 8 Teslas in the chain.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,1,R,9,Professor,"If there is no Professor on the field, he will appear when a Tesla merges. Does not attack, but increases the damage of all Teslas on the field by 0.48% per his charge (0.05% after 68 charges) in proportion to his merge rank. He doesn't have a charge limit. Receives a charge when any Tesla is fully charged. When destroyed, the Professor's charges are saved and given to him when he reappears.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,2,L,11,Electrolysis,Merging a unit next to a Tesla has a 50% chance of removing negative effects from 2 Teslas.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,2,R,11,Supercharge,Charges over the limit have a 100% chance to be sent to a random uncharged Tesla.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,3,L,13,High Voltage,Each charged Tesla increases the damage of all Teslas by 4%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,3,R,13,Lightning Strike,"With a chance of 2.3% per rank, Tesla's attacks may cause a lightning strike, dealing additional damage equal to 100% of Tesla's damage.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
tesla,Tesla,,4,Fixed,15,Megawatt,A charged Tesla of merge rank 7 may gain an additional charge which increases his damage by 13%. Charged Teslas' critical damage chance is increased by 4%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,1,L,9,Big Game Hunting,"The Trapper has a 50% chance to appear on the field as the Huntmaster and additionally throw a mantrap at a boss or mini boss on the path — or, if there are none, at a random monster. The mantrap has the bonuses of the nets and also increases the critical damage against monsters in the effect's radius by 5%. The effect stacks up to 20%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,1,R,9,Trap Master,"The Trapper has a 50% chance to become the Huntmaster, throwing mantraps instead of nets. Mantraps have the same bonuses as nets and also increase the damage dealt to monsters by traps and creatures on the path by 10%, up to 40%. The mantrap also deals damage to monsters once.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,2,L,11,Surekill,The Huntmaster has a 30% chance to throw a mantrap again.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,2,R,11,Geared Up,The mantrap's effect radius increases by 15%.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,3,L,13,Sheltered,"When the Mana Power-up is activated, a random Trapper throws a bush in front of big monsters on the opponent's field. In PvP mode, bushes increase the armor of monsters by 15%, while in Co-Op and single player modes they reduce it by 15%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,3,R,13,Thrill of the Chase,"When Mana Power-up is activated, summons a Tough Guy to the opponent's side. Has a 33% chance to summon a Blazing Burn instead of the Tough Guy. Does not work in Co-Op and single player modes.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
trapper,Trapper,,4,Fixed,15,Bolas,"When a boss appears, a random Trapper throws a projectile that stops the boss for 2 sec and links it with other bosses. Linked monsters transfer 10% of the damage received to each other.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
treant,Treant,,1,L,9,Arboreal Guard,"Treants of merge rank 4 gain the ability to accumulate leaves and a 60% bonus to critical damage. Every leaf adds 7.8% to damage dealt. After 30 leaves, the bonus is reduced to 3.9%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
treant,Treant,,1,R,9,Mycelium Masters,"Treants of merge rank 4 gain the ability to accumulate leaves, while also increasing the damage dealt by all Treants by 7%. Each leaf adds 1.5% to the damage increase. After 70 leaves, the bonus is reduced to 0.75%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
treant,Treant,,2,L,11,Regeneration,"When receiving a negative effect, has a 50% chance to be cleansed of them.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
treant,Treant,,2,R,11,Defoliation,The number of leaves received from using mana power-up has a 40% chance to be doubled.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
treant,Treant,,3,L,13,Spiny Roots,"Upon receiving a leaf, the Treant spreads barbed roots that deal 200% damage of the Treants every 0.5s for 5s.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
treant,Treant,,3,R,13,Mushroom Nausea,"Every 15th time the Treant attacks, it throws a toxic mushroom at a random monster, briefly stunning them and dealing 300% damage. Bosses and mini bosses are priority targets. Stunned targets cannot be stunned again.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
treant,Treant,,4,Fixed,15,Power of the Grove,"When receiving a leaf, the Treant has a 20% chance to receive 1 more leaf. If there are 4 Treants of Rank 4 or above on the field, all Treants increase their chance of dealing critical damage by 5%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,1,L,9,Cursed Magic,"After claiming 50 Souls, the Twilight Ranger's attack speed is increased by 70%, and each of this Ranger's attacks has a 2% chance to instantly kill a small monster.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,1,R,9,Unity Magic,"The Twilight Ranger increases the Magical Shot's target area by 30%. After gaining 50 souls, the damage from the Magical Shot increases by 200%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,2,L,11,Cleansing by Darkness,A random Twilight Ranger will be cleansed of negative effects upon the Soul transfer.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,2,R,11,Arrow of Grief,Instantly killing a monster with the Twilight Ranger's ability has a 40% chance to grant a Soul.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,3,L,13,Sorcerous Volley,"After claiming 50 Souls, the Twilight Ranger has a 10% chance to perform 4 additional shots against random targets when attacking. Each target receives 100% of the Twilight Ranger's damage.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,3,R,13,Critical Enchantment,"When the Twilight Ranger claims 50 Souls, her critical damage increases by 35%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
twilight_ranger,Twilight Ranger,,4,Fixed,15,Crown of Darkness,"When the Twilight Ranger claims 150 Souls, increases her chance of dealing critical damage by 4%, and the damage from the Magical Shot by 30%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
twins,Twins,,1,L,9,Harmony of Destruction,"If there is an equal number of Twins of different colors on the field, they attain the state of balance for 30 sec: each attack reduces the armor of monsters by 1.5%, but only to a maximum of 30%. For every 2 ranks, a Twin brings an additional Particle.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
twins,Twins,,1,R,9,Harmony of Chaos,"Merging does not give particles, and the form bonuses depend on the number of units (the maximum bonus is at 11 Twins). When there's an equal number of different colors, they enter the state of balance for 30 sec, increasing the damage they deal by 60%. Mana Power-up used for units in the state of balance grants particles equal to the number of pairs of different colors, resets the boost duration.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
twins,Twins,,2,L,11,Star Healing,"Upon attaining balance, a random Twin has a 100% chance to be cleansed of negative effects. Merging Twins of different colors additionally grants 1 particle.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
twins,Twins,,2,R,11,Star Growth,Twins of merge rank 6+ deal 35% more critical damage.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
twins,Twins,,3,L,13,Perfect Pair,Twins with neighbors of the opposite color and no neighbors of their own color gain a 30% bonus to critical damage.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
twins,Twins,,3,R,13,Peak of Power,Twins of merge rank 6+ deal 35% more critical damage.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
twins,Twins,,4,Fixed,15,Indestructible,"If a Twin of merge rank 7 is to be destroyed, he loses 1 rank instead of dying. The twins' critical chance is increased by 2.5% while the balance bonus lasts. Upon reaching 100 charges, the critical chance bonus is doubled.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
valkyrie,Valkyrie,,1,L,9,Fury of the Fallen,"When a Chosen One is lost, all Valkyries on the battlefield have their attack speed increased by 10% for 35 sec. After 70 runes, the attack speed bonus increases to 20%, and the damage increases by 50%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
valkyrie,Valkyrie,,1,R,9,Power of the Leaders,"Three Valkyries on the field become Leaders. Mana Power-up ranks up the Leader of the lowest merge rank, while all other Valkyries will be destroyed, granting Runes. A Chosen One grants 2 times the amount of runes, and losing her summons an extra Valkyrie of merge rank 1. Runes are granted only if the Mana Power-up button is tapped. Leaders have their damage increased by 200%, and they are the only ones to be affected with the Runes.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
valkyrie,Valkyrie,,2,L,11,Purifying Light,Losing a Valkyrie has a 40% chance to cleanse a random Valkyrie of a negative effect. The chance is 100% when losing a Chosen One.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
valkyrie,Valkyrie,,2,R,11,Generosity of the Norns,"When gaining Runes, a Valkyrie has a 12% chance to receive 1 extra rune per merge rank.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
valkyrie,Valkyrie,,3,L,13,Piercing Spear,"Valkyries of merge rank 5+ have a 20% chance to perform an extra shot when attacking, dealing 210% damage against the first monster.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
valkyrie,Valkyrie,,3,R,13,Unity of the Host,"If there are at least 5 Valkyries on the field, the damage they deal increases by 6% per merge rank.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
